nest	site	longitude_d	longitude_m	longitude_s	latitude_d	latitude_m	latitude_s
LF_A	Oostende	51	12	18	2	55	17.55
LF_B	Oostende	51	12	18.39	2	55	16.94
LF_C	Oostende	51	12	18.13	2	55	16.88
LF_D	Oostende	51	12	17.32	2	55	18.17
LF_E	Oostende	51	12	17.19	2	55	18.54
LF_F	Oostende	51	12	18.32	2	55	17.3
LF_G	Oostende	51	12	16.96	2	55	18.33
LF_H	Oostende	51	12	17.77	2	55	17.86
LN_A	Oostende	51	12	18.31	2	55	17.45
LN_B	Oostende	51	12	17.64	2	55	16.17
LN_C	Oostende	51	12	16.34	2	55	19.46
LFul_A	Brugge	51	10	26.3	3	8	24.3
LFul_B	Brugge	51	10	13.6	3	9	33.9
LFul_C	Oostende	51	12	14.75	2	55	7.13
FF_A	Brugge	51	10	28	3	8	21.3
FF_B	Brugge	51	10	29.1	3	8	16.3
FF_C	Brugge	51	10	10.36	3	9	25.3
FP_A	Brugge	51	10	30.8	3	8	12.4
FP_B	Brugge	51	10	28.8	3	8	33.2
FP_C	Brugge	51	10	30.95	3	8	23.83
MS_A	Oostende	51	12	2.7	2	55	43.3
MS_B	Oostende	51	12	18.8	2	55	16.8
MS_C	Oostende	51	12	12.48	2	55	10.6
TC_A	Middelkerke	51	9	27.87	2	44	53.71
TC_B	Middelkerke	51	9	32.76	2	45	5.71
TC_C	Middelkerke	51	9	28.27	2	44	55.79
