id	set	nest	treatment	host	time	status
1	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
2	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
3	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
4	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
5	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
6	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
7	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
8	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
9	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
10	rep1	LF_A	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	0
1	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
2	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
3	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
4	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	1
5	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	0
6	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	0
7	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	0
8	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	0
9	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	0
10	rep1	LF_B	glass_bead_with_hexane_methanol_extract	Lasius_flavus	30	0
1	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
2	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
3	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
4	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
5	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
6	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
7	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
8	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
9	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
10	rep1	LF_A	glass_bead_control	Lasius_flavus	30	0
1	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
2	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
3	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
4	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
5	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
6	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
7	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
8	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
9	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
10	rep2	LF_A	glass_bead_control	Lasius_flavus	30	0
1	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
2	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
3	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
4	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
5	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
6	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
7	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
8	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
9	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
10	rep3	LF_A	glass_bead_control	Lasius_flavus	30	0
1	rep4	LF_A	glass_bead_control	Lasius_flavus	30	0
2	rep4	LF_A	glass_bead_control	Lasius_flavus	30	0
3	rep4	LF_A	glass_bead_control	Lasius_flavus	30	0
4	rep4	LF_A	glass_bead_control	Lasius_flavus	30	0
5	rep4	LF_A	glass_bead_control	Lasius_flavus	30	0
6	rep4	LF_A	glass_bead_control	Lasius_flavus	30	0
7	rep4	LF_A	glass_bead_control	Lasius_flavus	30	0
8	rep4	LF_A	glass_bead_control	Lasius_flavus	30	0
9	rep4	LF_A	glass_bead_control	Lasius_flavus	30	0
