replicate	treatment	date	hatched	time_after_start
M1	ant_plus	7	1	3
M1	ant_plus	7	1	3
M1	ant_plus	8	1	4
M1	ant_plus	8	1	4
M1	ant_plus	10	1	6
M1	ant_plus	10	1	6
M1	ant_plus	12	1	8
M1	ant_plus	34	0	30
M1	ant_plus	34	0	30
M1	ant_plus	34	0	30
M2	ant_plus	7	1	3
M2	ant_plus	7	1	3
M2	ant_plus	7	1	3
M2	ant_plus	9	1	5
M2	ant_plus	9	1	5
M2	ant_plus	10	1	6
M2	ant_plus	10	1	6
M2	ant_plus	13	1	9
M2	ant_plus	13	1	9
M2	ant_plus	34	0	30
M3	ant_plus	8	1	4
M3	ant_plus	9	1	5
M3	ant_plus	10	1	6
M3	ant_plus	11	1	7
M3	ant_plus	12	1	8
M3	ant_plus	14	1	10
M3	ant_plus	14	1	10
M3	ant_plus	14	1	10
M3	ant_plus	19	1	15
M3	ant_plus	34	0	30
M4	ant_plus	6	1	2
M4	ant_plus	8	1	4
M4	ant_plus	10	1	6
M4	ant_plus	10	1	6
M4	ant_plus	10	1	6
M4	ant_plus	10	1	6
M4	ant_plus	10	1	6
M4	ant_plus	10	1	6
M4	ant_plus	11	1	7
M4	ant_plus	34	0	30
M5	ant_plus	7	1	3
M5	ant_plus	7	1	3
M5	ant_plus	8	1	4
M5	ant_plus	8	1	4
M5	ant_plus	9	1	5
M5	ant_plus	10	1	6
M5	ant_plus	11	1	7
M5	ant_plus	34	0	30
M5	ant_plus	34	0	30
M5	ant_plus	34	0	30
Z1	ant_min	7	1	3
Z1	ant_min	8	1	4
Z1	ant_min	9	1	5
Z1	ant_min	10	1	6
Z1	ant_min	11	1	7
Z1	ant_min	11	1	7
Z1	ant_min	12	1	8
Z1	ant_min	12	1	8
Z1	ant_min	13	1	9
Z1	ant_min	34	0	30
Z2	ant_min	8	1	4
Z2	ant_min	8	1	4
Z2	ant_min	9	1	5
Z2	ant_min	9	1	5
Z2	ant_min	9	1	5
Z2	ant_min	10	1	6
Z2	ant_min	11	1	7
Z2	ant_min	11	1	7
Z2	ant_min	12	1	8
Z2	ant_min	34	0	30
Z3	ant_min	7	1	3
Z3	ant_min	9	1	5
Z3	ant_min	10	1	6
Z3	ant_min	11	1	7
Z3	ant_min	12	1	8
Z3	ant_min	13	1	9
Z3	ant_min	14	1	10
Z3	ant_min	34	0	30
Z3	ant_min	34	0	30
Z3	ant_min	34	0	30
Z4	ant_min	7	1	3
Z4	ant_min	8	1	4
Z4	ant_min	9	1	5
Z4	ant_min	9	1	5
Z4	ant_min	11	1	7
Z4	ant_min	12	1	8
Z4	ant_min	12	1	8
Z4	ant_min	12	1	8
Z4	ant_min	12	1	8
Z4	ant_min	16	1	12
Z5	ant_min	7	1	3
Z5	ant_min	7	1	3
Z5	ant_min	8	1	4
Z5	ant_min	10	1	6
Z5	ant_min	12	1	8
Z5	ant_min	34	0	30
Z5	ant_min	34	0	30
Z5	ant_min	34	0	30
Z5	ant_min	34	0	30
Z5	ant_min	34	0	30
