id	set	colony	trophobiont	host	time	status
1	rep1	LF_A	aphid_egg	Lasius_flavus	10	1
2	rep1	LF_A	aphid_egg	Lasius_flavus	15	1
3	rep1	LF_A	aphid_egg	Lasius_flavus	60	1
4	rep1	LF_A	aphid_egg	Lasius_flavus	60	1
5	rep1	LF_A	aphid_egg	Lasius_flavus	120	1
6	rep1	LF_A	aphid_egg	Lasius_flavus	120	1
7	rep1	LF_A	aphid_egg	Lasius_flavus	120	0
8	rep1	LF_A	aphid_egg	Lasius_flavus	120	0
9	rep1	LF_A	aphid_egg	Lasius_flavus	120	0
10	rep1	LF_A	aphid_egg	Lasius_flavus	120	0
1	rep2	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep2	LF_A	aphid_egg	Lasius_flavus	5	1
3	rep2	LF_A	aphid_egg	Lasius_flavus	5	1
4	rep2	LF_A	aphid_egg	Lasius_flavus	5	1
5	rep2	LF_A	aphid_egg	Lasius_flavus	5	1
6	rep2	LF_A	aphid_egg	Lasius_flavus	10	1
7	rep2	LF_A	aphid_egg	Lasius_flavus	10	1
8	rep2	LF_A	aphid_egg	Lasius_flavus	10	1
9	rep2	LF_A	aphid_egg	Lasius_flavus	10	1
10	rep2	LF_A	aphid_egg	Lasius_flavus	15	1
1	rep3	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep3	LF_A	aphid_egg	Lasius_flavus	5	1
3	rep3	LF_A	aphid_egg	Lasius_flavus	10	1
4	rep3	LF_A	aphid_egg	Lasius_flavus	30	1
5	rep3	LF_A	aphid_egg	Lasius_flavus	30	1
6	rep3	LF_A	aphid_egg	Lasius_flavus	30	1
7	rep3	LF_A	aphid_egg	Lasius_flavus	30	1
8	rep3	LF_A	aphid_egg	Lasius_flavus	30	1
9	rep3	LF_A	aphid_egg	Lasius_flavus	30	1
10	rep3	LF_A	aphid_egg	Lasius_flavus	60	1
1	rep4	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep4	LF_A	aphid_egg	Lasius_flavus	10	1
3	rep4	LF_A	aphid_egg	Lasius_flavus	10	1
4	rep4	LF_A	aphid_egg	Lasius_flavus	15	1
5	rep4	LF_A	aphid_egg	Lasius_flavus	15	1
6	rep4	LF_A	aphid_egg	Lasius_flavus	15	1
7	rep4	LF_A	aphid_egg	Lasius_flavus	15	1
8	rep4	LF_A	aphid_egg	Lasius_flavus	20	1
9	rep4	LF_A	aphid_egg	Lasius_flavus	25	1
10	rep4	LF_A	aphid_egg	Lasius_flavus	30	1
1	rep5	LF_A	aphid_egg	Lasius_flavus	5	1
2	rep5	LF_A	aphid_egg	Lasius_flavus	15	1
